FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
118,4836660,36660,Red Oak ISD,70911,70911,272250,63205,96636,6696,36062434,28842532,25939517,19344422,0,110188905,16715.55,32.70%,26.20%,23.50%,17.60%,0.00%,235075325,37793,C,77,52%,60%,55%,63%
119,4822650,22650,Hart ISD,35902,35902,95000,48948,86160,206,1129853,782061,278210,1550560,0,3740684,17644.74,30.20%,20.90%,7.40%,41.50%,0.00%,1603053,8665,A,90,43%,56%,65%,63%
120,4816020,16020,Cumby Collegiate ISD,112905,112905,145000,56215,81696,463,3230398,1842118,3400403,2338247,0,10811166,24024.81,29.90%,17.00%,31.50%,21.60%,0.00%,1003483,2669,C,70,55%,72%,55%,68%
121,4841820,41820,Sulphur Springs ISD,112901,112901,185000,57280,83100,4216,27710471,13937615,5513524,14330329,0,61491939,14090.73,45.10%,22.70%,9.00%,23.30%,0.00%,153453471,40393,B,81,50%,52%,50%,54%
122,4824180,24180,Ingleside ISD,205903,205903,156641,69157,94276,2071,13285740,7273980,5609995,8065793,6101765,40337273,17032.59,32.90%,18.00%,13.90%,20.00%,15.10%,70988163,40357,B,83,41%,51%,56%,57%
123,4809030,9030,Avalon ISD,70901,70901,134845,60883,79792,347,2197259,1136631,29234,1016596,0,4379720,12549.34,50.20%,26.00%,0.70%,23.20%,0.00%,601200,1652,B,85,63%,73%,57%,58%
124,4829580,29580,Maypearl ISD,70915,70915,176187,57116,83064,1209,6990691,4729821,9147897,4439285,0,25307694,20676.22,27.60%,18.70%,36.10%,17.50%,0.00%,70554510,64610,C,70,49%,61%,45%,56%
125,4844730,44730,Waxahachie ISD,70912,70912,186171,62872,103427,11196,64615142,41438777,139589703,28189184,0,273832806,24776.76,23.60%,15.10%,51.00%,10.30%,0.00%,1028566675,96834,C,76,48%,58%,45%,60%
126,4818540,18540,Ennis ISD,70903,70903,255000,60970,97369,6646,36832546,15906220,23293911,23740304,0,99772981,15430.4,36.90%,15.90%,23.30%,23.80%,0.00%,227867000,35632,C,76,52%,61%,58%,62%
127,4834110,34110,Palmer ISD,70910,70910,212899,62203,92728,1352,8135635,4071236,2066739,5566250,0,19839860,14828,41.00%,20.50%,10.40%,28.10%,0.00%,20278525,15551,B,88,33%,51%,52%,48%
128,4843740,43740,Valentine ISD,122902,122902,131230,65103,131230,32,699083,415610,0,705251,0,1819944,75831,38.40%,22.80%,0.00%,38.80%,0.00%,0,0,B,84,33%,73%,29%,43%
129,4837260,37260,River Road ISD,188902,188902,163215,56202,88129,1221,8324302,5163168,1715567,5094887,0,20297924,17042.76,41.00%,25.40%,8.50%,25.10%,0.00%,7167725,8827,C,71,50%,60%,47%,64%
130,4835560,35560,Highland Park ISD (Potter),188903,188903,175564,64226,96610,749,5127516,3621083,8421301,3243781,4504564,24918245,25905.69,20.60%,14.50%,33.80%,13.00%,18.10%,173221994,268561,B,83,48%,64%,38%,41%
131,4830030,30030,Medina ISD,10901,10901,104000,48968,85010,243,2183485,1371817,571884,1175709,0,5302895,22187.85,41.20%,25.90%,10.80%,22.20%,0.00%,5785800,25047,B,85,45%,60%,55%,58%
132,4809330,9330,Balmorhea ISD,195902,195902,139244,66371,81233,146,1616327,1140443,11817083,1568528,4820316,20962697,111326.77,7.70%,5.40%,56.40%,7.50%,23.00%,105084285,633038,B,88,50%,72%,80%,74%
133,4822710,22710,Harts Bluff ISD,225907,225907,160000,56075,83500,891,5631923,2831191,845719,2725451,0,12034284,13506.49,46.80%,23.50%,7.00%,22.60%,0.00%,855682,1015,B,84,47%,62%,49%,57%
134,4842120,42120,Rivercrest ISD,194903,194903,125000,52731,90000,684,5409178,2265485,1276075,4113642,0,13064380,18426.49,41.40%,17.30%,9.80%,31.50%,0.00%,6051273,9367,B,85,45%,48%,59%,53%
135,4832700,32700,Newcastle ISD,252902,252902,110000,59729,82768,227,1822677,860565,8967382,1075884,0,12726508,56562.26,14.30%,6.80%,70.50%,8.50%,0.00%,26291415,131457,A,93,41%,44%,56%,48%
136,4826070,26070,La Gloria ISD,125906,125906,97000,58263,97000,119,763802,507976,0,545751,0,1817529,15943.24,42.00%,27.90%,0.00%,30.00%,0.00%,0,0,B,88,44%,79%,.,91%
137,4823790,23790,Hudson ISD,3902,3902,220139,56450,92808,2777,17247433,9711065,2875393,8993234,0,38827125,14165.31,44.40%,25.00%,7.40%,23.20%,0.00%,9148281,3780,B,89,36%,39%,35%,48%
138,4819140,19140,Fayetteville ISD,75906,75906,163680,53485,80371,290,2367483,798436,2225480,1496502,0,6887901,23751.38,34.40%,11.60%,32.30%,21.70%,0.00%,8649023,34322,A,96,25%,37%,48%,51%
139,4839540,39540,Schulenburg ISD,75903,75903,123000,57203,85500,684,5163010,2813092,2052797,2486938,0,12515837,18877.58,41.30%,22.50%,16.40%,19.90%,0.00%,38291500,68013,C,73,53%,65%,50%,55%
140,4838100,38100,Round Top-Carmine ISD,75908,75908,111800,54012,78759,235,1687773,1091584,241788,940248,2471766,6433159,16505.8,26.20%,17.00%,3.80%,14.60%,38.40%,962263,4811,B,89,28%,28%,22%,31%
141,4826100,26100,La Grange ISD,75902,75902,175524,54258,89815,1870,11099250,6112263,2789087,7307498,0,27308098,14178.66,40.60%,22.40%,10.20%,26.80%,0.00%,43645158,22935,C,78,43%,60%,43%,53%
142,4829760,29760,McDade ISD,11905,11905,105000,58696,82865,377,2897209,1816571,841528,1689675,0,7244983,20124.95,40.00%,25.10%,11.60%,23.30%,0.00%,9287963,27643,C,79,59%,72%,55%,64%
143,4807980,7980,Alto ISD,37901,37901,130000,64960,91879,505,4583143,2600661,626250,2923846,0,10733900,21297.42,42.70%,24.20%,5.80%,27.20%,0.00%,11571678,30776,B,81,56%,55%,56%,53%
144,4845210,45210,Westbrook ISD,168903,168903,118500,60135,30352,220,1597785,901153,15168,1383330,792,3898228,15907.9,41.00%,23.10%,0.40%,35.50%,0.00%,0,0,A,93,47%,46%,48%,66%
145,4816980,16980,Dew ISD,81906,81906,224467,62146,90000,171,1421446,758779,22234,636834,103690,2942983,15686.7,48.30%,25.80%,0.80%,21.60%,3.50%,0,0,C,76,44%,54%,33%,65%
146,4830450,30450,Meyersville ISD,62906,62906,119162,59987,119162,176,990833,443707,1097521,1010956,0,3543017,22858.17,28.00%,12.50%,31.00%,28.50%,0.00%,0,0,A,91,32%,38%,45%,28%
147,4833270,33270,Nursery ISD,235904,235904,116000,56512,70000,156,916398,386080,309849,690782,512005,2815114,16811.01,32.60%,13.70%,11.00%,24.50%,18.20%,1805600,16565,A,93,20%,20%,.,44%
148,4833570,33570,Olfen ISD,200906,200906,135000,51052,95000,145,1049307,811740,454797,999288,0,3315132,23346,31.70%,24.50%,13.70%,30.10%,0.00%,506600,3989,B,84,44%,59%,52%,52%
149,4835890,35890,Pringle-Morse Cons ISD,98903,98903,125500,49002,69220,128,1004872,718979,226950,1207993,27649,3186443,26544.49,31.50%,22.60%,7.10%,37.90%,0.90%,634650,5519,C,77,44%,48%,53%,62%
150,4836420,36420,Ramirez CSD,66005,66005,100530,55749,100530,36,484955,294975,44332,754906,0,1579168,71780.36,30.70%,18.70%,2.80%,47.80%,0.00%,0,0,B,80,37%,62%,.,101%
151,4839060,39060,San Vicente ISD,22903,22903,137500,69389,137500,0,332709,756414,76043,485154,0,1650320,82516,20.20%,45.80%,4.60%,29.40%,0.00%,0,0,B,89,101%,101%,.,101%
152,4844370,44370,Walcott ISD,59902,59902,96000,53206,63542,146,1062104,469943,317118,935258,0,2784423,19336.27,38.10%,16.90%,11.40%,33.60%,0.00%,977605,8285,A,91,38%,44%,.,53%
153,4845840,45840,Wildorado ISD,180904,180904,116500,51589,85767,215,1251540,777464,855368,1360023,0,4244395,19741.37,29.50%,18.30%,20.20%,32.00%,0.00%,12567709,77578,B,88,50%,59%,61%,55%
154,4827270,27270,Leveretts Chapel ISD,201904,201904,120950,59938,82692,242,1903393,861064,328091,1163787,0,4256335,17883.76,44.70%,20.20%,7.70%,27.30%,0.00%,344920,2197,C,79,56%,67%,42%,57%
155,4842390,42390,Terlingua CSD,22004,22004,115000,52982,115000,121,1147584,757536,169894,681845,0,2756859,20885.3,41.60%,27.50%,6.20%,24.70%,0.00%,0,0,F,53,76%,94%,79%,65%
156,4821480,21480,Grandfalls-Royalty ISD,238904,238904,93444,66315,93444,157,1364033,867493,959417,908229,0,4099172,29704.14,33.30%,21.20%,23.40%,22.20%,0.00%,11358075,75219,F,57,77%,84%,68%,79%
157,4831170,31170,Monahans-Wickett-Pyote ISD,238902,238902,147900,60125,89126,2181,14205835,8388641,33029035,8055968,10705506,74384985,28945.22,19.10%,11.30%,44.40%,10.80%,14.40%,165812425,82004,C,76,53%,65%,55%,64%
158,4807950,7950,Alpine ISD,22901,22901,154520,49914,86033,905,6639575,5101888,1696900,4121530,0,17559893,19128.42,37.80%,29.10%,9.70%,23.50%,0.00%,27513350,38534,B,81,45%,63%,33%,49%
159,4817400,17400,Doss Cons CSD,86024,86024,123470,51835,123470,0,242774,221024,89798,506218,0,1059814,50467.33,22.90%,20.90%,8.50%,47.80%,0.00%,0,0,B,89,44%,56%,.,101%
160,4811190,11190,Brazosport ISD,20905,20905,337140,63577,111774,11169,78357253,45588311,67596249,37212676,234559,228989048,20142.16,34.20%,19.90%,29.50%,16.30%,0.10%,395407400,43337,C,79,50%,56%,58%,64%
161,4816290,16290,Danbury ISD,20904,20904,150000,73743,103137,674,5031368,3497190,2567145,4134699,0,15230402,23041.46,33.00%,23.00%,16.90%,27.10%,0.00%,26902983,60186,B,85,39%,54%,48%,42%
162,4831380,31380,Morgan ISD,18903,18903,105000,49328,73500,137,1111030,660953,97834,913314,0,2783131,18804.94,39.90%,23.70%,3.50%,32.80%,0.00%,0,0,C,75,63%,94%,57%,80%
163,4835700,35700,Prairie Lea ISD,28906,28906,117000,55180,91500,267,1797532,1475522,1112444,1425128,0,5810626,21926.89,30.90%,25.40%,19.10%,24.50%,0.00%,0,0,D,63,87%,98%,87%,100%
164,4840200,40200,Sierra Blanca ISD,115902,115902,108650,69136,76000,100,1207411,533675,3273846,809487,0,5824419,58832.52,20.70%,9.20%,56.20%,13.90%,0.00%,10554800,167537,C,77,58%,64%,47%,89%
165,4815540,15540,Crane ISD,52901,52901,155000,67735,102164,1233,8952873,5889633,17068388,4837581,7173874,43922349,30345.56,20.40%,13.40%,38.90%,11.00%,16.30%,60027260,52563,C,72,57%,65%,63%,65%
166,4831470,31470,Morton ISD,40901,40901,108120,60931,76604,368,2950608,1550871,77402,2095265,0,6674146,18853.52,44.20%,23.20%,1.20%,31.40%,0.00%,0,0,D,66,77%,82%,63%,86%
167,4845570,45570,Whiteface Cons ISD,40902,40902,118450,55309,88381,298,2387755,1611275,1253389,1973482,0,7225901,22233.54,33.00%,22.30%,17.30%,27.30%,0.00%,4113662,14333,B,85,51%,61%,31%,63%
168,4818480,18480,Elysian Fields ISD,102906,102906,120000,54133,83621,775,5403430,3744010,2604577,5513410,6897293,24162720,21663.02,22.40%,15.50%,10.80%,22.80%,28.50%,2811800,4306,C,76,37%,52%,54%,54%
169,4822170,22170,Hallsville ISD,102904,102904,212100,56224,90813,24602,33469582,19207398,10160137,197234321,0,260071438,12210.5,12.90%,7.40%,3.90%,75.80%,0.00%,89933930,3242,B,81,62%,82%,66%,73%
170,4829160,29160,Marshall ISD,102902,102902,240000,49268,84223,4957,25179451,16695008,21601327,16470001,0,79945787,16101.87,31.50%,20.90%,27.00%,20.60%,0.00%,157151352,38181,C,73,58%,64%,65%,68%
171,4832460,32460,New Diana ISD,230906,230906,147500,60066,86261,1136,6345962,3911294,940961,3846330,0,15044547,12924.87,42.20%,26.00%,6.30%,25.60%,0.00%,9156365,8541,B,87,27%,45%,49%,54%
172,4825110,25110,Karnack ISD,102901,102901,104584,48164,69437,119,1089742,1077143,89910,1366032,279062,3901889,28982.62,27.90%,27.60%,2.30%,35.00%,7.20%,679478,6410,C,74,66%,75%,80%,73%
173,4811990,11990,Buffalo ISD,145901,145901,170650,56389,92224,988,6848192,4189136,1722235,4321743,0,17081306,16632.24,40.10%,24.50%,10.10%,25.30%,0.00%,7587925,9164,B,85,38%,52%,50%,55%
174,4830420,30420,Mexia ISD,147903,147903,185000,58681,95800,1846,13068349,8544418,3770540,6899473,0,32282780,17621.6,40.50%,26.50%,11.70%,21.40%,0.00%,13758475,8648,D,66,61%,75%,60%,77%
175,4842300,42300,Teague ISD,81904,81904,194044,54497,90453,1212,7497951,5169634,2162659,4640663,0,19470907,15564.27,38.50%,26.60%,11.10%,23.80%,0.00%,2060400,1745,B,84,42%,53%,50%,61%
176,4835550,35550,Poth ISD,247904,247904,140315,54645,88003,962,5758533,3213313,2443189,3280238,0,14695273,15485.01,39.20%,21.90%,16.60%,22.30%,0.00%,15405510,16892,A,91,30%,38%,32%,35%
177,4822320,22320,Hamshire-Fannett ISD,123914,123914,146330,48966,83527,2006,10047886,5685656,11486561,8135832,0,35355935,17263.64,28.40%,16.10%,32.50%,23.00%,0.00%,73179481,39989,B,83,42%,62%,52%,58%
178,4822410,22410,Hardin-Jefferson ISD,100905,100905,190195,56522,92579,2762,13469478,8108736,8435307,9002289,0,39015810,14166.96,34.50%,20.80%,21.60%,23.10%,0.00%,60803986,22833,B,84,41%,45%,37%,50%
179,4824960,24960,Jourdanton ISD,7902,7902,156000,63757,95279,1554,10160472,5567924,3714391,5490414,0,24933201,15701.01,40.80%,22.30%,14.90%,22.00%,0.00%,51312349,36034,C,78,46%,64%,42%,54%
180,4829400,29400,Mathis ISD,205904,205904,105252,57662,98261,1429,11186322,6055899,3436789,9382027,0,30061037,20774.73,37.20%,20.10%,11.40%,31.20%,0.00%,27944271,23133,C,79,50%,63%,58%,66%
181,4840410,40410,Skidmore-Tynan ISD,13905,13905,140400,56958,86334,775,5588646,3664578,5919314,3689952,0,18862490,23756.28,29.60%,19.40%,31.40%,19.60%,0.00%,29014312,35513,B,88,41%,57%,41%,51%
182,4827890,27890,Lockney ISD,77902,77902,155000,59660,90262,391,3048369,2297457,696715,2242458,0,8284999,20507.42,36.80%,27.70%,8.40%,27.10%,0.00%,4017400,12633,C,76,69%,80%,77%,80%
183,4843400,43400,Turkey-Quitaque ISD,96905,96905,110000,48336,80000,180,1397580,730360,185572,1159724,0,3473236,18184.48,40.20%,21.00%,5.30%,33.40%,0.00%,2475269,13526,A,95,28%,48%,63%,59%
184,4800009,9,Wimberley ISD,105905,105905,10619,61118,101490,2661,15376680,8974099,13283473,6895604,1109974,45639830,16492.54,33.70%,19.70%,29.10%,15.10%,2.40%,145268458,60554,B,86,28%,43%,32%,41%
185,4835760,35760,Premont ISD,125905,125905,120000,59289,97291,794,5917532,2113401,1212822,5380832,0,14624587,18701.52,40.50%,14.50%,8.30%,36.80%,0.00%,21447922,29789,C,79,57%,76%,63%,80%
186,4809870,9870,Ben Bolt-Palito Blanco ISD,125902,125902,135000,59765,82583,444,3759570,1784130,552520,3235841,0,9332061,20510.02,40.30%,19.10%,5.90%,34.70%,0.00%,2145450,7449,B,82,50%,67%,43%,65%
187,4823430,23430,Hondo ISD,163904,163904,150000,57801,86123,1727,10483844,5390038,3460797,6954438,0,26289117,14996.64,39.90%,20.50%,13.20%,26.50%,0.00%,37871527,24386,C,77,55%,70%,56%,70%
188,4827090,27090,Lefors ISD,90902,90902,83200,58427,80000,173,1578775,668947,505448,1358375,0,4111545,21869.92,38.40%,16.30%,12.30%,33.00%,0.00%,1248440,7258,D,69,66%,72%,76%,61%
189,4832370,32370,New Braunfels ISD,46901,46901,264971,63619,102912,9893,52273599,27677441,179694785,26077586,0,285723411,29218.06,18.30%,9.70%,62.90%,9.10%,0.00%,796726345,89229,B,81,40%,55%,41%,53%
190,4818120,18120,Edgewood ISD (Van Zandt),234903,234903,153000,56075,85010,1022,6749296,4019448,7959234,3857973,0,22585951,21510.43,29.90%,17.80%,35.20%,17.10%,0.00%,57159448,57679,B,80,45%,58%,48%,54%
191,4827750,27750,Littlefield ISD,140904,140904,160000,48187,89750,1233,7999690,5707408,22260272,4969787,0,40937157,34171.25,19.50%,13.90%,54.40%,12.10%,0.00%,72173119,68671,C,77,50%,62%,62%,58%
192,4811070,11070,Brackett ISD,136901,136901,119000,55238,81717,521,4025399,2741507,125196,2794877,0,9686979,18208.61,41.60%,28.30%,1.30%,28.90%,0.00%,1031912,2132,B,81,42%,56%,41%,59%
193,4820550,20550,George West ISD,149901,149901,135000,58123,76850,1063,7048629,3825519,1890950,3908024,0,16673122,15744.21,42.30%,22.90%,11.30%,23.40%,0.00%,34992400,39450,A,91,24%,48%,47%,50%
194,4842690,42690,Three Rivers ISD,149902,149902,130000,69176,87500,566,5320881,2105901,5856791,4845592,15035143,33164308,30727.4,16.00%,6.30%,17.70%,14.60%,45.30%,34060177,67580,C,77,51%,65%,64%,47%
195,4843680,43680,Utopia ISD,232904,232904,101000,50748,77250,196,1459290,941654,12123,1061930,0,3474997,17288.54,42.00%,27.10%,0.30%,30.60%,0.00%,0,0,A,91,40%,56%,58%,40%
196,4816140,16140,D'Hanis ISD,163902,163902,131000,64262,87801,290,1993133,1145105,394725,1065924,17593,4616480,16542.76,43.20%,24.80%,8.60%,23.10%,0.40%,4154346,17455,B,87,30%,37%,49%,43%
197,4824330,24330,Iraan-Sheffield Collegiate ISD,186903,186903,147400,61303,87500,333,2391784,2431177,8028882,2504081,4558170,19914094,44253.38,12.00%,12.20%,40.30%,12.60%,22.90%,10973981,37074,C,79,55%,80%,71%,51%
198,4808870,8870,Athens ISD,107901,107901,396552,64035,85819,3029,19533199,9211743,10115450,12195340,0,51055732,16973.32,38.30%,18.00%,19.80%,23.90%,0.00%,68286322,28217,C,77,53%,69%,81%,64%
199,4836970,36970,Rice Cons ISD,45903,45903,83500,58722,91196,1306,8269852,4704850,1774835,5987361,0,20736898,15769.5,39.90%,22.70%,8.60%,28.90%,0.00%,32854537,26668,C,73,56%,69%,72%,77%
200,4833240,33240,Nueces Canyon Cons ISD,69902,69902,100501,68109,80594,240,1984443,1057473,116000,1474169,95988,4728073,19381.11,42.00%,22.40%,2.50%,31.20%,2.00%,0,0,B,80,41%,80%,43%,51%
201,4843720,43720,Uvalde Cons ISD,232903,232903,206120,55741,77268,4019,27256782,18974496,2347387,12170731,0,60749396,14955.54,44.90%,31.20%,3.90%,20.00%,0.00%,5236736,2227,F,59,66%,80%,69%,81%
202,4817280,17280,Dodd City ISD,74904,74904,118000,60144,81233,308,2197307,1063203,310382,1371531,0,4942423,15445.07,44.50%,21.50%,6.30%,27.80%,0.00%,4359650,16267,B,89,34%,51%,36%,46%
203,4831320,31320,Moran ISD,209902,209902,111384,58394,70749,115,1239127,625417,87475,1381165,0,3333184,27546.98,37.20%,18.80%,2.60%,41.40%,0.00%,0,0,C,78,64%,83%,100%,81%
204,4827630,27630,Lipan ISD,111902,111902,1,58218,94480,478,3582024,1662157,1683297,2485646,0,9413124,21058.44,38.10%,17.70%,17.90%,26.40%,0.00%,25279885,69834,B,85,40%,53%,48%,52%
205,4818890,18890,Ezzell ISD,143906,143906,100000,45363,85001,128,824722,381765,801312,568666,0,2576465,19818.96,32.00%,14.80%,31.10%,22.10%,0.00%,4451088,24457,B,83,37%,44%,58%,66%
206,4807680,7680,Albany ISD,209901,209901,3,55399,105772,474,3142822,2223959,398236,2524018,0,8289035,16711.76,37.90%,26.80%,4.80%,30.50%,0.00%,651879,1563,B,81,37%,51%,49%,55%
207,4811220,11220,Breckenridge ISD,215901,215901,140000,54237,77537,1374,8047389,5663013,1057927,8989175,0,23757504,17091.73,33.90%,23.80%,4.50%,37.80%,0.00%,4953250,4030,B,83,45%,50%,58%,60%
208,4839390,39390,Santo ISD,182904,182904,150492,59638,85117,582,3786050,2298571,1988034,2459715,40213,10572583,18943.11,35.80%,21.70%,18.80%,23.30%,0.40%,24415656,50135,A,90,26%,41%,23%,47%
209,4830870,30870,Millsap ISD,184904,184904,163988,61378,92177,1083,7156549,3730072,4534400,3703104,0,19124125,17385.57,37.40%,19.50%,23.70%,19.40%,0.00%,17697050,18988,B,82,46%,51%,41%,54%
210,4822350,22350,Happy ISD,219901,219901,54000,62334,75872,253,1947512,1039989,0,1460834,0,4448335,16475.31,43.80%,23.40%,0.00%,32.80%,0.00%,0,0,B,84,32%,33%,21%,52%
211,4836780,36780,Refugio ISD,196903,196903,143520,54320,86925,656,5123806,4920424,1464247,4165910,0,15674387,22882.32,32.70%,31.40%,9.30%,26.60%,0.00%,29631350,42513,D,67,56%,72%,60%,58%
212,4846380,46380,Woodsboro ISD,196902,196902,110000,54455,83338,400,2958543,1943015,8605177,2654029,0,16160764,39416.5,18.30%,12.00%,53.20%,16.40%,0.00%,64550088,198006,C,74,60%,75%,65%,65%
213,4821180,21180,Gordon ISD,182901,182901,97830,57430,72100,227,1475893,1057919,5858441,1275467,0,9667720,41492.36,15.30%,10.90%,60.60%,13.20%,0.00%,15769459,78067,B,89,38%,60%,70%,67%
214,4841700,41700,Strawn ISD,182905,182905,112501,58452,92100,172,1106864,688746,33900,1061214,0,2890724,17519.54,38.30%,23.80%,1.20%,36.70%,0.00%,0,0,B,88,74%,77%,70%,95%
215,4811610,11610,Brownfield ISD,223901,223901,208000,54720,92753,1608,11994052,7845849,6821645,7968479,0,34630025,20924.49,34.60%,22.70%,19.70%,23.00%,0.00%,53742350,34517,D,69,66%,74%,63%,70%
216,4813500,13500,Central ISD,3907,3907,153000,54678,89500,1497,9565688,6043272,744430,6672861,0,23026251,15099.18,41.50%,26.20%,3.20%,29.00%,0.00%,10162425,6876,C,75,54%,66%,44%,68%
217,4813890,13890,Chillicothe ISD,99902,99902,101856,55283,69648,189,1730648,1087847,1118386,1480186,0,5417067,27638.1,31.90%,20.10%,20.60%,27.30%,0.00%,10753250,59740,B,86,54%,62%,50%,59%
218,4824810,24810,Joaquin ISD,210902,210902,140800,60110,103270,720,5216067,3441438,1430220,2991567,0,13079292,18369.79,39.90%,26.30%,10.90%,22.90%,0.00%,10610425,15884,A,91,46%,50%,50%,56%
219,4842360,42360,Tenaha ISD,210904,210904,120000,68848,98555,414,3441616,2178369,1109473,2149421,0,8878879,19343.96,38.80%,24.50%,12.50%,24.20%,0.00%,4065945,10872,D,65,56%,66%,69%,77%
220,4820460,20460,Gary ISD,183904,183904,167255,55562,80320,476,3425035,1509701,1422947,2287876,0,8645559,17825.89,39.60%,17.50%,16.50%,26.50%,0.00%,7191767,19490,C,75,49%,63%,51%,63%
221,4813110,13110,Carthage ISD,183902,183902,242330,61294,105162,2637,18850290,10039100,36832347,12273504,9779566,87774807,30021.26,21.50%,11.40%,42.00%,14.00%,11.10%,39480952,17657,B,80,44%,51%,51%,54%
222,4836990,36990,Richards ISD,93905,93905,122985,61261,85999,249,1455419,731815,2080827,852463,0,5120524,21789.46,28.40%,14.30%,40.60%,16.60%,0.00%,9441292,42338,C,73,48%,72%,71%,57%
223,4820100,20100,Fort Davis ISD,122901,122901,120000,57342,70099,682,2205798,1179358,40985,1046805,0,4472946,17007.4,49.30%,26.40%,0.90%,23.40%,0.00%,0,0,D,68,49%,62%,70%,58%
224,4820310,20310,Ganado ISD,120902,120902,126814,54309,85990,712,3797186,2352402,3673492,3377870,0,13200950,18966.88,28.80%,17.80%,27.80%,25.60%,0.00%,31779050,52441,C,76,45%,51%,58%,63%
225,4834020,34020,Palacios ISD,158905,158905,132743,59588,103572,1265,9484456,5829508,61786971,10205618,0,87306553,68962.52,10.90%,6.70%,70.80%,11.70%,0.00%,170774178,160351,B,83,46%,57%,49%,61%
226,4826910,26910,Latexo ISD,113905,113905,131000,55771,87920,550,3336874,1942486,831366,2301241,0,8411967,16925.49,39.70%,23.10%,9.90%,27.40%,0.00%,5898325,12963,C,76,40%,63%,50%,60%
227,4807800,7800,Alice ISD,125901,125901,237000,62674,98220,4297,27512064,17568537,5365474,15656456,0,66102531,14735.29,41.60%,26.60%,8.10%,23.70%,0.00%,101698824,26553,B,80,57%,65%,61%,69%
228,4833720,33720,Orange Grove ISD,125903,125903,156560,55627,95945,1648,10389291,5308765,1558234,6031330,0,23287620,13642.43,44.60%,22.80%,6.70%,25.90%,0.00%,10779009,7839,B,87,34%,52%,48%,51%
229,4837320,37320,Riviera ISD,137903,137903,118000,57385,86778,425,3127545,2178093,0,2587715,0,7893353,16547.91,39.60%,27.60%,0.00%,32.80%,0.00%,0,0,B,84,38%,66%,53%,50%
230,4820220,20220,Gainesville ISD,49901,49901,243264,63381,73576,3111,18512878,11673002,8229447,11906017,0,50321344,16295.77,36.80%,23.20%,16.40%,23.70%,0.00%,23193488,8248,D,65,69%,73%,65%,73%
231,4844490,44490,Walnut Bend ISD,49908,49908,91400,69969,91400,73,503316,281486,1,488521,0,1273324,19895.69,39.50%,22.10%,0.00%,38.40%,0.00%,0,0,C,76,29%,88%,101%,100%
232,4812360,12360,Bynum ISD,109902,109902,150000,51202,78000,187,1250692,904195,179388,1044192,0,3378467,18361.23,37.00%,26.80%,5.30%,30.90%,0.00%,1006270,6136,B,88,43%,50%,44%,62%
233,4823730,23730,Hubbard ISD (Hill),109905,109905,123394,56000,81494,417,3212600,1862850,1511059,1878661,0,8465170,19686.44,38.00%,22.00%,17.90%,22.20%,0.00%,8091798,23119,C,77,58%,69%,47%,65%
234,4828800,28800,Malone ISD,109908,109908,98340,62666,84494,63,1001623,633179,97433,728967,0,2461202,27046.18,40.70%,25.70%,4.00%,29.60%,0.00%,695260,13905,B,88,61%,68%,89%,76%
235,4811910,11910,Buena Vista ISD,186901,186901,88581,52618,88581,220,1668943,1280770,20076030,1654111,11194146,35874000,96783.74,4.70%,3.60%,56.00%,4.60%,31.20%,92939125,411235,B,81,57%,68%,64%,66%
236,4820190,20190,Fort Stockton ISD,186902,186902,283550,62351,107521,13480,14109242,10862576,39675954,93320631,0,157968403,18745.51,8.90%,6.90%,25.10%,59.10%,0.00%,87322180,8867,F,55,62%,86%,70%,79%
