NAME,DISTRICT_N,Debt,Per-Pupil Debt
New Boston ISD,19905,"$32,989,777.00","$34,472.00"
Rice CISD,45903,"$32,854,537.00","$26,668.00"
Lyford CISD,245902,"$32,532,225.00","$26,666.00"
Chico ISD,249904,"$32,505,384.00","$61,331.00"
New Home ISD,153905,"$32,334,931.00","$41,830.00"
Baird ISD,30903,"$31,955,258.00","$96,834.00"
Lorena ISD,161907,"$31,932,102.00","$16,877.00"
Devine ISD,163901,"$31,927,141.00","$18,234.00"
Rice ISD,175911,"$31,885,232.00","$28,242.00"
Hempstead ISD,237902,"$31,873,882.00","$23,698.00"
Ganado ISD,120902,"$31,779,050.00","$52,441.00"
Franklin ISD,198903,"$31,694,738.00","$24,250.00"
Moody ISD,161910,"$31,153,850.00","$44,379.00"
McGregor ISD,161909,"$30,847,520.00","$19,761.00"
Jasper ISD,121904,"$30,763,050.00","$16,810.00"
Liberty-Eylau ISD,19908,"$30,551,700.00","$18,483.00"
Hidalgo ISD,108905,"$30,512,566.00","$11,532.00"
Lamesa ISD,58906,"$29,926,750.00","$25,149.00"
East Bernard ISD,241902,"$29,922,275.00","$29,597.00"
Giddings ISD,144901,"$29,672,800.00","$18,768.00"
Muleshoe ISD,9901,"$29,660,344.00","$26,041.00"
Rio Vista ISD,126907,"$29,638,641.00","$30,906.00"
Dilley ISD,82902,"$29,636,997.00","$44,103.00"
Refugio ISD,196903,"$29,631,350.00","$42,513.00"
